Issue date,Song,Artist(s),,
7-Jan,"""All I Want for Christmas Is You""",Mariah Carey,,
14-Jan,"""Anti-Hero""",Taylor Swift,,
21-Jan,"""Anti-Hero""",Taylor Swift,,
28-Jan,"""Flowers""",Miley Cyrus,,
4-Feb,"""Flowers""",Miley Cyrus,,
11-Feb,"""Flowers""",Miley Cyrus,,
18-Feb,"""Flowers""",Miley Cyrus,,
25-Feb,"""Flowers""",Miley Cyrus,,
4-Mar,"""Flowers""",Miley Cyrus,,
11-Mar,"""Die for You""",The Weeknd and Ariana Grande,,
18-Mar,"""Last Night""",Morgan Wallen,,
25-Mar,"""Flowers""",Miley Cyrus,,
1-Apr,"""Flowers""",Miley Cyrus,,
8-Apr,"""Like Crazy""",Jimin,,
15-Apr,"""Last Night""",Morgan Wallen,,
22-Apr,"""Last Night""",Morgan Wallen,,
29-Apr,"""Kill Bill""",SZA,,
6-May,"""Last Night""",Morgan Wallen,,
13-May,"""Last Night""",Morgan Wallen,,
20-May,"""Last Night""",Morgan Wallen,,
27-May,"""Last Night""",Morgan Wallen,,
3-Jun,"""Last Night""",Morgan Wallen,,
10-Jun,"""Last Night""",Morgan Wallen,,
17-Jun,"""Last Night""",Morgan Wallen,,
24-Jun,"""Last Night""",Morgan Wallen,,
1-Jul,"""Last Night""",Morgan Wallen,,
8-Jul,"""Last Night""",Morgan Wallen,,
15-Jul,"""Vampire""",Olivia Rodrigo,,
22-Jul,"""Last Night""",Morgan Wallen,,
29-Jul,"""Seven""",Jungkook featuring Latto,,
5-Aug,"""Try That in a Small Town""",Jason Aldean,,
12-Aug,"""Last Night""",Morgan Wallen,,
19-Aug,"""Last Night""",Morgan Wallen,,
26-Aug,"""Rich Men North of Richmond""",Oliver Anthony Music,,
2-Sep,"""Rich Men North of Richmond""",Oliver Anthony Music,,
9-Sep,"""I Remember Everything""",Zach Bryan featuring Kacey Musgraves,,
16-Sep,"""Paint the Town Red""",Doja Cat,,
23-Sep,"""Vampire""",Olivia Rodrigo,,
30-Sep,"""Slime You Out""",Drake featuring SZA,,
7-Oct,"""Paint the Town Red""",Doja Cat,,
14-Oct,"""Paint the Town Red""",Doja Cat,,
21-Oct,"""First Person Shooter""",Drake featuring J. Cole,,
28-Oct,"""Cruel Summer""",Taylor Swift,,
4-Nov,"""Cruel Summer""",Taylor Swift,,
11-Nov,"""Is It Over Now?""",Taylor Swift,,
18-Nov,"""Cruel Summer""",Taylor Swift,,
25-Nov,"""Cruel Summer""",Taylor Swift,,
2-Dec,"""Lovin on Me""",Jack Harlow,,
9-Dec,"""Rockin' Around the Christmas Tree""",Brenda Lee,,
16-Dec,"""Rockin' Around the Christmas Tree""",Brenda Lee,,
23-Dec,"""All I Want for Christmas Is You""",Mariah Carey,,
30-Dec,"""All I Want for Christmas Is You""",Mariah Carey,,
